ServiceNo,Direction,FromStop,ToStop,SequenceOrder,Geometry
147,2,60161,60201,43,ovaGgg}xRGEKKIE_@[i@c@EEKGc@]{@e@o@c@ECSOWS[SWQ}@q@MIg@g@EGIMIEq@_@[Kc@GYIKCWIWG}@]OEEA[GkAU_Em@aAQKDCBEDABCDMr@I`@LBtAT`ANl@H\DH@@E?A?AaAONcAjAP
147,2,60201,60261,44,osbG{w}xR@@Id@KZ?@??CF|@Jd@FVDLFJ]H_@AOCGIQMQkAU_Em@aAQc@GiB[EAMA
147,2,60261,61011,45,u_cGc|}xRUE_@IaAS{@MOCKOSCy@O}BY
147,2,61011,61021,46,qlcGw_~xR??g@KcAWYIgAWi@MIA_@KICGAKCKAOC{BUm@E{@E
147,2,61021,61031,47,s~cGkd~xRA?qAI_BK}@E_@CMAWCw@Eq@E
147,2,61031,61041,48,ukdG}e~xR]Ca@AkBKc@EE?MAI?mAGeBDg@BmCNQ@
147,2,61041,62111,49,__eGcf~xRy@D_ABg@Bw@@_@?K?o@@m@?QA_@AsAEqAMeAMuA]
147,2,62111,62121,50,wueGug~xRo@MaAa@k@S}@_@MGGCGC}Ak@
147,2,62121,62131,51,o`fGul~xRq@UOG_@OKEm@W}As@]OMGKGGE]S[Sq@g@
147,2,62131,66371,52,umfGkt~xR]U][e@a@EEyAaASAC?K@a@FaAv@g@`@KHSNUP[T]Ni@RUDQB]DcACuAII?c@CQCeAGy@GSCGA
147,2,66371,63361,53,}kgG{s~xRUCaAOMCw@K_AMYIu@Ym@WMEYMMEmAg@m@UUESCWAYCw@Es@EKA
147,2,63361,63181,54,_chG_{~xR_@AIAq@EWAi@EKAWAO@M?m@Do@Fs@JgANmC^uAPKB
147,2,63181,63191,55,ixhGsx~xRWDa@DaCb@a@F[BU@I?Q?MAa@CSCWGUKi@Wm@Yw@]ICSKUKcAa@
147,2,63191,63201,56,omiGa|~xRiDwAgBk@kBo@
147,2,63201,63211,57,myiGua_yRsAe@}Ai@c@Os@UOEEA}@Wo@Q
147,2,63211,63311,58,{ejG}f_yRa@Ko@Qc@I_@IIA{@OIAq@IcAOg@IF]BOJw@HeAHyABY
147,2,63311,63391,59,opjGgs_yRDk@NeAPiAT_ANcBK_@EICCMM]WuASk@K}@QMI
147,2,63391,63381,60,qvjGwb`yROKWYSa@Ke@AWFg@TyBRqAHi@
147,2,63381,63371,61,_wjG{o`yR@CZwBDWPsA^{C?a@GYGQMQqAy@WQ
147,2,63371,64341,62,qxjGkaayRSO]SqA}@o@a@GEMIQKi@YYSg@_@OK
147,2,64341,64351,63,ickGeiayRsA}@YUMIWUMMsBiBKKIIMO??}@eA
147,2,64351,64361,64,aokG}sayRMOW_@S[UYe@o@]i@Ye@_@s@Ua@KQEKGQ[{@W}@
147,2,64361,64031,65,sxkGccbyREOSw@Om@]wBEUAICUUoAGo@AKCY?GCgA?a@?k@??
147,2,64031,64079,66,o|kGkvbyRAkB?WBaBNkBX_ATo@Vk@DIJS@A\o@p@s@`B{A~@w@^a@
147,2,64079,64059,67,opkGsocyRJKlAeBx@qAf@y@HKNS^]HKLUNLDDf@j@DFt@z@tA`B
147,2,64059,64049,68,qakGkscyRLPFDb@f@^`@pAzA`AhAJLLLz@`A\\fAlA
147,2,64049,64009,69,gtjGydcyR??LLRRvA|APPPR^^d@f@BBDDNPSNQJQJi@\KH[RYNKBK@I?W@]?WFQLC@c@j@gApACFINAXAdA
190,1,44009,44539,0,utmG_|exRU?_@C[FCDGLAT@rA?xA?J?R?`@?n@BfB@P@\FVFHHHdA`AJDHDJ?J?HCzAYn@MPEREVG^I^ITGCG_@gBGWCEAIGWEOMq@AEQ{@
190,1,44539,44399,1,ulmGouexRKc@Ic@EUUcAGSSs@EOEQNGHC|@i@VQTKJGp@[FEHEHGh@]^YPUNY^gAVq@Vs@
190,1,44399,44299,2,sbmG}jfxRpAmD\aATo@Ri@@EFQBERm@`@gAJYT{@
190,1,44299,44289,3,szlGq|fxRDSBS@U?YEc@CWCQEi@A_@?AD[@MZmAFSTaAPq@
190,1,44289,44279,4,ixlGclgxRJa@d@oBDQDMLc@`@gBHSLO^e@VOh@YtAi@^Gx@Kb@A
190,1,44279,44141,5,mjlGu{gxR`@?h@AL@ZBv@HVDH?H@H?H?F?F?VAREHABO??@K?E?E?C?CsAqCQ]Wi@GOEKGQ
190,1,44141,44251,6,gelGaehxR??Ui@YmAI[EOe@eBWy@y@oCYo@Sc@S_@Y}@EMa@cAAGQq@Sq@c@mA
190,1,44251,44241,7,oqlGsaixRK]g@qASi@Yo@GOGSCGWu@Kg@Ki@Kw@Co@?oAFeAL{@
190,1,44241,44231,8,ovlGkwixR??R}@Xy@b@gAZm@r@uAHMJQHOHQr@qAj@gAzAsC
190,1,44231,44261,9,gjlG_mjxRP[tE}IP[Xm@\s@FMLUBCZk@FKl@}@j@aAHQNUTe@DIBIBEP_@HObAmB
