ServiceNo,Direction,FromStop,ToStop,SequenceOrder,Geometry
190,1,5049,5039,27,aazFscyxRxBbBl@j@d@b@tAdAtAfAjA|@j@kA
190,1,5039,5019,28,msyFaxxxRPLpAbAt@p@`BrAfAz@~@r@
190,1,5019,5069,29,igyFymxxRdClBlAdA
190,1,5069,10011,30,u`yFehxxRn@h@z@l@RNLHTI`Ae@hEmBRGVzAVxAZrDZ~A
190,1,10011,10041,31,unxFswwxRHjAB`@JjBf@l@^b@bCvCNM
190,1,10041,10499,32,agxFqhwxRLbAAn@YfADd@
190,2,10499,10049,0,igxFoawxRa@~C?p@HrBV~C^~DNzAHh@Rf@`@f@l@f@nB~Ax@b@`@JVALBHFFLu@@k@Oq@y@oB_Bm@g@a@g@Sg@Ii@O{A_@_EW_DIsB?q@Ma@a@s@jAoBXgA@o@CM
190,2,10049,10017,1,wfxF{fwxRIu@GOEMcCwC_@c@g@m@m@w@i@g@eAaBa@s@
190,2,10017,5012,2,muxFy|wxRbB~CFHWRa@s@mAsBkAkBGIQWYa@_@]a@[[Ue@[sAqAa@_@{@]oEcDkA_AwAiAkCwBsDwCwAkACQ@KFEJEd@b@tAdAtAfAjA|@pAbAt@p@`BrAfAz@~@r@
190,2,5012,5022,3,ihyF}lxxReAu@kA_AwAiAkCwBsDwCwAkAu@o@UUoB{A
190,2,5022,4222,4,aazFscyxRxBbBYd@UUqDqCwBaB}CcCc@]aA}@kA_A_Aq@CWBWVc@
190,2,4222,4223,5,uvzF}syxRyBcBkAy@[WIk@KGcAm@u@]
190,2,4223,4143,6,{a{FkazxRdBcCpBhAd@VM`@W`@eAjBW|@KGcAm@cBw@KGkAa@UIaEyAMEyAe@iBy@]v@
190,2,4143,4121,7,kv{FmgzxRgBw@{@bB]~@_CmAQ?Q@KFSR]`@AB
190,2,4121,8041,8,qc|FkdzxR]`@WR[T]P{@d@{@l@oBbCiAvAQ\GV@ZBXFJ`@b@HJ
190,2,8041,8031,9,yk|FaxyxRJs@Ju@FmBoBbCiAvAQ\GV@ZBXFJ`@b@\d@DPBN?f@M`Ai@fCER
190,2,8031,8111,10,sp|FshyxRWlA_@dBc@fBc@t@uA~BYf@Wr@Wp@UfBGd@UhB
190,2,8111,8121,11,g{|F{mxxRWnBIx@YxBU`B
190,2,8121,9011,12,y}|FuaxxRgAlIId@Oz@Kj@Kn@~AxA\`@H`@Ft@q@xBuAk@}BaAKZi@jAo@`A}BfC
190,2,9011,9023,13,ml}Fw`wxRcAhAkAlA
190,2,9023,9213,14,gr}FsyvxRDNvBjB{AhBc@r@eAtBMIgAm@]WkBmBMKkAeAs@_@QIaAY{@]_GoBI?
190,2,9213,40191,15,wl~Fe|vxR}CQiB?cHPgA@oC@e@P]Ti@p@Ob@}@xFG^CRUxAc@tCUg@eBmB{@gAcAx@SFa@EoAi@m@q@l@p@nAh@`@DRGbAy@z@fA~@Zn@DXMTSTyAg@M[IQBMBE?
